idx,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
70,0.0,1500,11.677000045776367,0.0,0.0,1500,0.0,0.0,0.0,0.3517082929611206,-0.011962867341935635,9.414776802062988,-0.0007993200561031699,0.0005328800179995596,0.0
71,0.0,1500,11.678000450134277,0.0,0.0,1500,0.0,0.0,0.0,0.3325677216053009,-0.09091779589653015,9.388458251953125,0.0002664400089997798,0.0007993200561031699,0.0002664400089997798
72,0.0,1500,11.678000450134277,0.0,0.0,1500,0.0,0.0,0.0,0.35410088300704956,-0.009570294059813023,9.445879936218262,-0.0005328800179995596,0.0005328800179995596,0.0
73,0.0,1500,11.682999610900879,0.0,0.0,1500,0.0,0.0,0.0,0.3373528718948364,-0.019140588119626045,9.398028373718262,-0.0013322000158950686,0.0002664400089997798,0.0007993200561031699
74,0.0,1500,11.682999610900879,0.0,0.0,1500,0.0,0.0,0.0,0.33496028184890747,-0.05263661593198776,9.393243789672852,-0.0007993200561031699,0.0002664400089997798,0.0
75,0.0,1500,11.682999610900879,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.05981433764100075,9.510479927062988,-0.0005328800179995596,0.0015986401122063398,0.0007993200561031699
76,0.0,1500,11.682999610900879,0.0,0.0,1500,0.0,0.0,0.0,0.3086419701576233,-0.055029191076755524,9.412384033203125,-0.0015986401122063398,0.0002664400089997798,-0.0002664400089997798
77,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3517082929611206,-0.09091779589653015,9.342999458312988,-0.0010657600359991193,0.0002664400089997798,0.0
78,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3373528718948364,-0.06699205935001373,9.419562339782715,-0.0005328800179995596,0.0,0.0005328800179995596
79,0.0,1500,11.675999641418457,0.0,0.0,1500,0.0,0.0,0.0,0.3588860332965851,-0.08613264560699463,9.383673667907715,-0.0005328800179995596,0.0,-0.0007993200561031699
