Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z,,Lin_X,0.035999999
2.877170205,1500,12.16600037,2.875907421,2.875907421,1500,0.256000012,0,0.029999999,0.055029191,-0.61489141,9.395636559,-0.043696161,0.024778921,0.02824264,,,
2.877170205,1500,12.15699959,2.875468254,2.875468254,1500,0.254999995,0,0.029999999,-0.208153889,-0.428270668,7.747152805,0.03250568,-0.022647401,0.035436522,,,
2.877170205,1500,12.15699959,2.875468254,2.875468254,1500,0.250999987,0,-0.043000001,-0.057421762,0.564647317,8.395540237,-0.0013322,-0.02158164,0.018117921,,,
2.877170205,1500,12.16499996,2.87567091,2.87567091,1500,0.244000003,0,-0.101000004,0.497655302,0.299071699,8.536702156,0.033571441,0.01172336,0.022647401,,,
2.877170205,1500,12.16499996,2.87567091,2.87567091,1500,0.234999999,0,-0.303000003,0.46655184,-0.203368753,8.725715637,-0.00586168,0.020515881,0.03303856,,,
2.877170205,1500,12.15299988,2.876209736,2.876209736,1500,0.238000005,0,-0.298000008,0.849363565,0.399559766,9.197052956,0.0053288,-0.02584468,0.028775521,,,
2.877170205,1500,12.15299988,2.876209736,2.876209736,1500,0.238000005,0,-0.294,-0.057421762,-0.586180508,10.35984325,-0.018117921,0.031706359,0.011456921,,,
2.877170205,1500,12.17199993,2.875635147,2.875635147,1500,0.233999997,0,-0.277999997,0.272753388,0.064599484,9.974638939,0.034104321,-0.011456921,0.0026644,,,
2.877170205,1500,12.17199993,2.875635147,2.875635147,1500,0.236000001,0,-0.264999986,0.715379477,-0.098095514,8.792707443,-0.0053288,-0.039433122,0.024246041,,,
2.877170205,1500,12.1590004,2.875941277,2.875941277,1500,0.246999994,0,-0.082999997,0.476122141,-0.327782571,9.953105927,-0.027709762,-0.031706359,0.024778921,,,
2.877170205,1500,12.1590004,2.875941277,2.875941277,1500,0.252000004,0,0.061000001,0.294286549,-0.181835592,10.21868134,-0.00985828,-0.044761922,0.019716561,,,
2.877170205,1500,12.16499996,2.87567091,2.87567091,1500,0.252999991,0,0.059,0.162694991,0.332567722,9.66838932,-0.008792521,-0.018117921,0.018117921,,,
2.877170205,1500,12.16499996,2.87567091,2.87567091,1500,0.25,0,0.035,0.110058382,-0.46415925,10.42205048,0.00079932,-0.04156464,0.00692744,,,
2.877170205,1500,12.17000008,2.876852751,2.876852751,1500,0.252999991,0,0.002,0.662742853,-0.500047863,11.03454876,-0.01625284,-0.066610001,0.011190481,,,
2.877170205,1500,12.17000008,2.876852751,2.876852751,1500,0.240999997,0,-0.142000005,0.528758764,0.184228167,10.44597626,-0.00772676,0.00053288,-0.00239796,,,
2.877170205,1500,12.16800022,2.876379967,2.876379967,1500,0.228,0,-0.308999985,0.954636812,-0.203368753,10.17800808,-0.01225624,0.06501136,0.010124721,,,
2.877170205,1500,12.16800022,2.876379967,2.876379967,1500,0.230000004,0,-0.307000011,0.787156701,-0.294286549,10.02009773,-0.00612812,-0.0053288,0.02371316,,,
2.877170205,1500,12.15799999,2.875704765,2.875704765,1500,0.254000008,0,0.039000001,0.114843525,-0.177050442,9.895684242,0.013588441,0.038900241,0.017851481,,,
2.877170205,1500,12.17000008,2.876852751,2.876852751,1500,0.256000012,0,0.068000004,0.602928519,0.129198968,10.19236279,0.025045361,0.040232442,0.024246041,,,
2.877170205,1500,12.17000008,2.876852751,2.876852751,1500,0.254000008,0,0.057,0.488085002,-0.289501399,9.529620171,-0.00692744,0.026377561,0.024778921,,,
2.877170205,1500,12.16399956,2.875434399,2.875434399,1500,0.256000012,0,0.035,0.514403284,0.540721595,8.701789856,-0.022114521,0.045561243,0.014654201,,,
2.877170205,1500,12.16399956,2.875434399,2.875434399,1500,0.254000008,0,0.032000002,0.641209722,0.172265291,8.95061779,-0.035702962,0.063945599,-0.00239796,,,
2.877170205,1500,12.15799999,2.875704765,2.875704765,1500,0.254999995,0,0.01,0.535936475,0.251220226,9.424346924,0.043962602,0.02078232,0.00213152,,,
2.877170205,1500,12.15799999,2.875704765,2.875704765,1500,0.238000005,0,-0.184,0.428270668,-0.047851469,9.685137749,-0.013322,-0.00506236,0.012522681,,,
2.877170205,1500,12.16399956,2.875434399,2.875434399,1500,0.225999996,0,-0.345999986,0.562254786,0.088525221,9.256866455,-0.02158164,-0.00239796,-0.00106576,,,
2.877170205,1500,12.16399956,2.875434399,2.875434399,1500,0.225999996,0,-0.233999997,0.641209722,0.119628675,8.606086731,0.00239796,-0.00079932,0.008792521,,,
2.877170205,1500,12.15400028,2.876446724,2.876446724,1500,0.25,0,0.017000001,0.177050442,0.002392574,8.563020706,-0.043962602,-0.00746032,0.0039966,,,
2.877170205,1500,12.15400028,2.876446724,2.876446724,1500,0.247999996,0,0.059,0.322997421,0.476122141,9.639678955,0.027709762,-0.02371316,0.019716561,,,
2.877170205,1500,12.16499996,2.87567091,2.87567091,1500,0.254000008,0,0.018999999,0.224901915,0.081347495,10.44836807,-0.00186508,-0.042896841,-0.00186508,,,
2.877170205,1500,12.16499996,2.87567091,2.87567091,1500,0.254000008,0,0.028000001,0.567039907,-0.526366174,9.462628365,-0.02824264,-0.024778921,-0.013588441,,,
2.877170205,1500,12.15299988,2.876209736,2.876209736,1500,0.245000005,0,-0.114,-0.098095514,-0.15551728,9.673174858,-0.017052161,0.057551041,0.0013322,,,
2.877170205,1500,12.15299988,2.876209736,2.876209736,1500,0.232999995,0,-0.324000001,0.110058382,-0.12202125,10.14211941,0.00293084,-0.020515881,-0.00373016,,,
2.877170205,1500,12.16100025,2.876414299,2.876414299,1500,0.233999997,0,-0.291999996,0.703416586,1.024021506,8.522346497,0.04156464,-0.039433122,0.00692744,,,
2.877170205,1500,12.16100025,2.876414299,2.876414299,1500,0.234999999,0,-0.26699999,0.071777202,-0.090917796,10.94602394,-0.00346372,0.053288002,0.00772676,,,
2.877170205,1500,12.15400028,2.876446724,2.876446724,1500,0.233999997,0,-0.256000012,0.452196389,-0.217724189,9.83347702,-0.00239796,0.023979601,-0.011190481,,,
2.877170205,1500,12.15400028,2.876446724,2.876446724,1500,0.237000003,0,-0.238999993,0.12202125,-0.169872716,9.235333443,0.00106576,0.01918368,0,,,
2.877170205,1500,12.1619997,2.876650572,2.876650572,1500,0.246000007,0,-0.136000007,0.677098274,-0.057421762,9.383673668,-0.01092404,-0.01172336,0.00746032,,,
2.877170205,1500,12.1619997,2.876650572,2.876650572,1500,0.248999998,0,-0.039000001,-0.334960282,0.08374007,8.096468925,-0.00319728,0.02344672,0.00639456,,,
2.877170205,1500,12.16100025,2.876414299,2.876414299,1500,0.256000012,0,0.043000001,0.026318308,-0.224901915,8.218489647,0.010124721,-0.00559524,0.00772676,,,
2.877170205,1500,12.16100025,2.876414299,2.876414299,1500,0.257999986,0,0.041000001,-0.038281176,-0.081347495,9.984209061,0.01651928,-0.034104321,0.00452948,,,
2.877170205,1500,12.1590004,2.875941277,2.875941277,1500,0.257999986,0,0.035,-0.586180508,0.133984119,9.582257271,-0.01838436,-0.00612812,0.00213152,,,
2.877170205,1500,12.1590004,2.875941277,2.875941277,1500,0.259000003,0,0.046,0.210546464,0.62446171,9.211407661,-0.022380961,-0.00479592,0.024778921,,,
2.877170205,1500,12.16899967,2.87661624,2.87661624,1500,0.256999999,0,0.063000001,0.031103456,-0.401952356,9.788018227,-0.011456921,0.00186508,0.03223924,,,
2.877170205,1500,12.16899967,2.87661624,2.87661624,1500,0.254000008,0,0.074000001,-0.100488089,-0.31581971,7.948129177,0.01039116,-0.01891724,0.01678572,,,
2.877170205,1186,12.16899967,2.87661624,2.87661624,1500,0.252000004,0,0.043000001,-0.583787918,0.203368753,7.747152805,-0.023979601,-0.036235843,0.014920641,,,
2.877170205,1186,12.16899967,2.87661624,2.87661624,1500,0.237000003,0,-0.086999997,0.064599484,0.433055818,10.44358349,-0.0106576,-0.034903642,0.03303856,,,
2.877170205,1186,12.16699982,2.233996391,3.516601086,1186,0.225999996,0,-0.043000001,0.038281176,-0.92353338,9.553545952,-0.044229042,0.03756804,0.042896841,,,
2.877170205,1186,12.16699982,2.233996391,3.516601086,1186,0.236000001,0,0.029999999,-0.382811755,0.258397937,8.405110359,0.062080521,-0.029308401,0.113237001,,,
2.877170205,1186,12.14299965,2.232962608,3.516410351,1186,0.246000007,0,0.326999992,0.722557187,-0.244042501,9.331036568,0.0093254,0.024778921,0.271502376,,,
2.877170205,1186,12.14299965,2.232962608,3.516410351,1186,0.257999986,0,0.614000022,0.543114185,-0.258397937,9.094171524,-0.00026644,0.0106576,0.442290425,,,
2.877170205,1186,12.16399956,2.233445406,3.515733719,1186,0.246000007,0,0.476000011,0.31581971,0.22729449,8.986506462,0.00746032,0.013322,0.577641964,,,
2.877170205,1186,12.16399956,2.233445406,3.515733719,1186,0.256999999,0,0.671000004,0.753660679,0.105273232,9.268829346,0.00346372,-0.01625284,0.571513832,,,
2.877170205,1186,12.17300034,2.233407497,3.516644478,1186,0.246000007,0,0.441000015,-0.1172361,0.428270668,9.823906898,0.024246041,-0.02078232,0.565119267,,,
2.877170205,1186,12.16600037,2.233812809,3.516312122,1186,0.252999991,0,0.606000006,0.593358219,0.157909855,8.838166237,0.026910441,-0.013854881,0.568316519,,,
2.877170205,1186,12.16600037,2.233812809,3.516312122,1186,0.256000012,0,0.677999973,0.12202125,-0.179443017,10.06077194,0.00452948,-0.025578242,0.569648743,,,
2.877170205,1186,12.16300011,2.233262062,3.515444994,1186,0.238999993,0,0.441000015,0.485692412,0.153124705,8.613265038,0.010124721,0.00319728,0.578707695,,,
2.877170205,1186,12.16300011,2.233262062,3.515444994,1186,0.230000004,0,0.356999993,-0.217724189,-0.031103456,9.687530518,-0.017318601,0.046627,0.598957121,,,
2.877170205,1186,12.15600014,2.233664989,3.5184865,1186,0.25999999,0,0.66900003,0.22729449,-0.191405877,8.448177338,0.03676872,-0.02078232,0.607749641,,,
2.877170205,1186,12.15600014,2.233664989,3.5184865,1186,0.261999995,0,0.686999977,0.588573098,1.189109087,8.4960289,0.079932004,-0.04236396,0.612812042,,,
2.877170205,1186,12.17000008,2.234547138,3.517467976,1186,0.231999993,0,0.340000004,0.31581971,0.528758764,8.708967209,0.036235843,0.029574841,0.594161212,,,
2.877170205,1186,12.17000008,2.234547138,3.517467976,1186,0.247999996,0,0.569999993,0.174657866,0.260790497,10.50818253,0.01438776,0.024778921,0.574977517,,,
2.877170205,1186,12.17000008,2.234547138,3.517467976,1186,0.256000012,0,0.68900001,0.538329065,0.320604861,8.208919525,0.022380961,0.019450121,0.588832438,,,
2.877170205,1186,12.17000008,2.234547138,3.517467976,1186,0.239999995,0,0.432000011,0.15073213,0.239257351,8.787922859,-0.0079932,0.034370761,0.554994524,,,
2.877170205,1186,12.1619997,2.233078241,3.518534184,1186,0.228,0,0.340000004,0.241649926,-0.291893959,10.28567314,0.0159864,-0.03783448,0.572579563,,,
2.877170205,1186,12.1619997,2.233078241,3.518534184,1186,0.254999995,0,0.573000014,0.16030243,-0.31581971,9.017609596,-0.011456921,0.01438776,0.556859612,,,
